label,count,best_reference_label,best_similarity_score,assigned_category,assigned_at_0_70,assigned_at_0_75,assigned_at_0_80
state,214,stage,0.8,Biospecimen Age,True,True,True
health state,213,cell state,0.7272727272727273,Biospecimen Type,True,False,False
bal sampling date,212,sampling time,0.7333333333333333,Biospecimen Age,True,False,False
processing,210,tissue processing,0.7407407407407407,Biospecimen Type,True,False,False
library quality,208,library id,0.72,External_sample_id,True,False,False
differentiation batch,207,differentiation day,0.85,Biospecimen Age,True,True,True
knockout,203,knockout group,0.7272727272727273,Treatment,True,False,False
inflammation_status,202,infection status,0.7428571428571429,Biospecimen Disease Condition,True,False,False
pregnancy status,201,organoid status,0.7096774193548387,External_sample_id,True,False,False
anatomic location,201,tumor location,0.7096774193548387,Biospecimen Disease Condition,True,False,False
library,198,library id,0.8235294117647058,External_sample_id,True,True,True
brain location,197,treatment location,0.75,Treatment,True,True,False
experimental replicate,196,experimental group,0.75,Treatment,True,True,False
plate_number,195,patient number,0.7692307692307693,External_sample_id,True,True,False
growth medium,193,growth time,0.75,Biospecimen Age,True,True,False
number of relapses,192,number of cells,0.7878787878787878,Biospecimen Type,True,True,False
case/control,191,case or control,0.8148148148148148,Treatment,True,True,True
infection_status,189,infection status,0.9375,Biospecimen Disease Condition,True,True,True
vaccination route,188,vaccination dose,0.8484848484848485,Treatment Dosage Regimen,True,True,True
couple number,188,mouse number,0.8,Biospecimen Organism,True,True,True
growth,187,growth time,0.7058823529411765,Biospecimen Age,True,False,False
extraction date,185,exacerbation day,0.7096774193548387,Biospecimen Age,True,False,False
draw_date,185,draw day,0.7058823529411765,Biospecimen Age,True,False,False
Histopathological diagnostic,180,histological diagnosis,0.84,Biospecimen Disease Condition,True,True,True
symptomatic,178,symptom duration,0.7407407407407407,Treatment Dosage Regimen,True,False,False
molecular subtype,176,molecular subgroup,0.8,Treatment,True,True,True
Cause of death,172,age of death,0.8461538461538461,Biospecimen Age,True,True,True
hours post-invasion,172,hours post infection,0.7692307692307693,Biospecimen Disease Condition,True,True,False
volunteer,171,volunteer id,0.8571428571428571,External_sample_id,True,True,True
survival cluster,170,survival time,0.7586206896551724,Biospecimen Age,True,True,False
differentiation,169,differentiation day,0.8823529411764706,Biospecimen Age,True,True,True
preparation,169,cell preparation,0.8148148148148148,Biospecimen Type,True,True,True
overall.survival.months,168,overall.survival.time,0.8181818181818182,Biospecimen Age,True,True,True
subset,168,subject,0.7692307692307693,External_sample_id,True,True,False
protect outcome,167,treatment outcome,0.75,Treatment,True,True,False
hours post invasion,162,hours post infection,0.8205128205128205,Biospecimen Disease Condition,True,True,True
mechanical ventilation,162,mechanical condition,0.8095238095238095,Biospecimen Disease Condition,True,True,True
other_medication,158,acute medication,0.75,Treatment,True,True,False
diabetes_medication,158,acute medication,0.7428571428571429,Treatment,True,False,False
os_month,156,os month,0.875,Biospecimen Age,True,True,True
study_origin,156,study_id,0.7,External_sample_id,True,False,False
parasitemia category,155,patient category,0.7222222222222222,External_sample_id,True,False,False
differentiation_method,152,differentiation_age,0.8292682926829268,Biospecimen Age,True,True,True
survival status,152,survival time,0.7142857142857143,Biospecimen Age,True,False,False
antibody description,151,condition description,0.7804878048780488,Biospecimen Disease Condition,True,True,False
notes,148,monocytes,0.7142857142857143,Biospecimen Type,True,False,False
Phenotype,141,cell phenotype,0.782608695652174,Biospecimen Type,True,True,False
cag,140,cage,0.8571428571428571,Biospecimen Age,True,True,True
exposure_latent,140,exposure time,0.7142857142857143,Biospecimen Age,True,False,False
pathogens,138,pathogen strain,0.75,Biospecimen Organism,True,True,False
inflammation status,135,infection status,0.8,Biospecimen Disease Condition,True,True,True
family,134,family id,0.8,External_sample_id,True,True,True
injection_type,132,infection type,0.8571428571428571,Biospecimen Disease Condition,True,True,True
technology,128,pathology,0.7368421052631579,Biospecimen Disease Condition,True,False,False
