PARENT_GARD,CHILD_GARD
GARD:0001578,GARD:0002392
GARD:0000957,GARD:0002392
GARD:0000428,GARD:0002392
GARD:0022261,GARD:0002418
GARD:0022260,GARD:0002418
GARD:0022259,GARD:0002418
GARD:0002422,GARD:0002424
GARD:0005392,GARD:0002424
GARD:0013639,GARD:0002424
GARD:0018005,GARD:0002424
GARD:0019950,GARD:0002430
GARD:0010097,GARD:0002432
GARD:0022052,GARD:0002437
GARD:0021985,GARD:0002437
GARD:0016255,GARD:0002449
GARD:0015768,GARD:0002449
GARD:0015172,GARD:0002449
GARD:0015082,GARD:0002470
GARD:0016439,GARD:0002478
GARD:0015240,GARD:0002478
GARD:0018227,GARD:0002485
GARD:0018226,GARD:0002485
GARD:0018225,GARD:0002485
GARD:0018224,GARD:0002485
GARD:0002490,GARD:0002485
GARD:0022186,GARD:0002486
GARD:0016490,GARD:0002486
GARD:0020705,GARD:0002491
GARD:0005653,GARD:0002491
GARD:0015133,GARD:0002498
GARD:0015412,GARD:0002498
GARD:0015450,GARD:0002498
GARD:0015840,GARD:0002498
GARD:0016257,GARD:0002498
GARD:0015173,GARD:0002515
GARD:0017400,GARD:0002520
GARD:0017399,GARD:0002520
GARD:0017398,GARD:0002520
GARD:0017397,GARD:0002520
GARD:0017396,GARD:0002520
GARD:0017395,GARD:0002520
GARD:0017394,GARD:0002520
GARD:0000108,GARD:0002520
GARD:0017405,GARD:0002521
GARD:0017404,GARD:0002521
GARD:0007604,GARD:0002521
GARD:0016237,GARD:0002542
GARD:0016062,GARD:0002542
GARD:0015943,GARD:0002542
GARD:0015882,GARD:0002542
GARD:0015760,GARD:0002542
GARD:0015117,GARD:0002562
GARD:0015204,GARD:0002599
GARD:0015205,GARD:0002599
GARD:0015624,GARD:0002599
GARD:0015625,GARD:0002599
GARD:0015626,GARD:0002599
GARD:0015829,GARD:0002599
GARD:0015846,GARD:0002599
GARD:0015898,GARD:0002599
GARD:0015915,GARD:0002599
GARD:0015927,GARD:0002599
GARD:0015938,GARD:0002599
GARD:0016134,GARD:0002599
GARD:0016294,GARD:0002599
GARD:0015197,GARD:0002659
GARD:0015196,GARD:0002659
GARD:0003909,GARD:0002659
GARD:0019079,GARD:0002714
GARD:0016529,GARD:0002714
GARD:0021561,GARD:0002783
GARD:0017580,GARD:0002783
GARD:0021396,GARD:0002804
GARD:0021395,GARD:0002804
GARD:0016625,GARD:0002804
GARD:0017317,GARD:0002807
GARD:0017316,GARD:0002807
GARD:0015183,GARD:0002828
GARD:0003829,GARD:0002837
GARD:0016923,GARD:0002837
GARD:0010829,GARD:0002837
GARD:0016304,GARD:0002838
GARD:0008206,GARD:0002865
GARD:0002863,GARD:0002865
GARD:0015951,GARD:0002877
GARD:0016815,GARD:0002882
GARD:0008713,GARD:0002882
GARD:0000460,GARD:0002882
GARD:0000459,GARD:0002882
GARD:0001104,GARD:0002905
GARD:0005644,GARD:0002905
GARD:0012832,GARD:0002905
GARD:0015287,GARD:0002905
GARD:0015323,GARD:0002905
GARD:0015331,GARD:0002905
GARD:0015332,GARD:0002905
GARD:0015363,GARD:0002905
GARD:0015365,GARD:0002905
GARD:0015372,GARD:0002905
GARD:0015382,GARD:0002905
GARD:0015397,GARD:0002905
GARD:0015413,GARD:0002905
GARD:0015434,GARD:0002905
GARD:0015469,GARD:0002905
GARD:0015470,GARD:0002905
GARD:0015515,GARD:0002905
GARD:0015522,GARD:0002905
GARD:0015530,GARD:0002905
GARD:0015531,GARD:0002905
GARD:0015532,GARD:0002905
GARD:0015543,GARD:0002905
GARD:0015588,GARD:0002905
GARD:0015621,GARD:0002905
GARD:0015627,GARD:0002905
GARD:0015639,GARD:0002905
GARD:0015643,GARD:0002905
GARD:0015661,GARD:0002905
GARD:0015684,GARD:0002905
GARD:0015689,GARD:0002905
GARD:0015690,GARD:0002905
GARD:0015726,GARD:0002905
GARD:0015832,GARD:0002905
GARD:0015916,GARD:0002905
GARD:0015924,GARD:0002905
GARD:0015926,GARD:0002905
GARD:0016031,GARD:0002905
GARD:0016305,GARD:0002905
GARD:0017088,GARD:0002910
GARD:0016589,GARD:0002910
GARD:0002877,GARD:0002910
GARD:0004721,GARD:0002922
GARD:0004600,GARD:0002922
GARD:0016710,GARD:0002943
GARD:0007226,GARD:0002943
GARD:0016169,GARD:0002945
GARD:0016168,GARD:0002945
GARD:0015751,GARD:0002945
GARD:0015188,GARD:0002945
GARD:0015297,GARD:0002952
GARD:0016402,GARD:0002952
GARD:0015939,GARD:0002998
GARD:0015758,GARD:0003007
GARD:0016240,GARD:0003007
GARD:0015190,GARD:0003024
GARD:0010364,GARD:0003048
GARD:0015140,GARD:0003049
GARD:0015511,GARD:0003049
GARD:0015613,GARD:0003049
GARD:0015718,GARD:0003049
GARD:0015795,GARD:0003049
GARD:0015993,GARD:0003049
GARD:0015996,GARD:0003049
GARD:0016079,GARD:0003049
GARD:0016185,GARD:0003049
GARD:0016696,GARD:0003065
GARD:0017508,GARD:0003065
GARD:0015688,GARD:0003074
GARD:0015884,GARD:0003103
GARD:0015081,GARD:0003103
GARD:0021252,GARD:0003112
GARD:0021251,GARD:0003112
GARD:0002946,GARD:0003113
GARD:0015349,GARD:0003113
GARD:0009787,GARD:0003122
GARD:0016788,GARD:0003122
GARD:0016284,GARD:0003129
GARD:0015826,GARD:0003129
GARD:0015825,GARD:0003129
GARD:0003161,GARD:0003159
GARD:0003160,GARD:0003159
GARD:0021564,GARD:0003178
GARD:0021250,GARD:0003178
GARD:0021246,GARD:0003178
GARD:0021150,GARD:0003178
GARD:0019590,GARD:0003178
GARD:0019589,GARD:0003178
GARD:0012257,GARD:0003178
GARD:0006943,GARD:0003178
GARD:0021072,GARD:0003188
GARD:0019238,GARD:0003188
GARD:0019237,GARD:0003188
GARD:0019236,GARD:0003188
GARD:0016833,GARD:0003188
GARD:0017266,GARD:0003228
GARD:0017265,GARD:0003228
GARD:0017264,GARD:0003228
GARD:0017263,GARD:0003228
GARD:0021328,GARD:0003230
GARD:0021329,GARD:0003230
GARD:0021330,GARD:0003230
GARD:0016852,GARD:0003244
GARD:0016851,GARD:0003244
GARD:0010127,GARD:0003244
GARD:0019020,GARD:0003259
GARD:0005485,GARD:0003259
GARD:0005484,GARD:0003259
GARD:0022267,GARD:0003262
GARD:0010288,GARD:0003262
GARD:0003979,GARD:0003262
GARD:0017526,GARD:0003277
GARD:0012588,GARD:0003277
GARD:0003285,GARD:0003284
GARD:0003286,GARD:0003284
GARD:0010432,GARD:0003284
GARD:0010433,GARD:0003284
GARD:0010434,GARD:0003284
GARD:0010435,GARD:0003284
GARD:0010436,GARD:0003284
GARD:0010437,GARD:0003284
GARD:0015595,GARD:0003284
GARD:0015666,GARD:0003284
GARD:0016073,GARD:0003284
GARD:0016074,GARD:0003284
GARD:0015264,GARD:0003307
GARD:0015384,GARD:0003314
GARD:0015181,GARD:0003318
GARD:0016047,GARD:0003318
GARD:0016296,GARD:0003318
GARD:0016971,GARD:0003342
GARD:0016599,GARD:0003342
GARD:0010084,GARD:0003342
GARD:0007649,GARD:0003342
GARD:0003343,GARD:0003342
GARD:0002630,GARD:0003342
GARD:0017160,GARD:0003343
GARD:0017178,GARD:0003343
GARD:0019308,GARD:0003343
GARD:0019342,GARD:0003343
GARD:0020600,GARD:0003343
GARD:0020601,GARD:0003343
GARD:0020602,GARD:0003343
GARD:0015585,GARD:0003390
GARD:0015078,GARD:0003390
GARD:0008743,GARD:0003436
GARD:0008744,GARD:0003436
GARD:0015458,GARD:0003436
GARD:0015509,GARD:0003436
GARD:0015520,GARD:0003436
GARD:0015548,GARD:0003436
GARD:0015727,GARD:0003436
GARD:0015773,GARD:0003436
GARD:0015957,GARD:0003436
GARD:0016236,GARD:0003436
GARD:0016447,GARD:0003442
GARD:0015195,GARD:0003442
GARD:0016446,GARD:0003443
GARD:0015729,GARD:0003445
GARD:0015728,GARD:0003445
GARD:0018582,GARD:0003460
GARD:0018581,GARD:0003460
GARD:0018580,GARD:0003460
GARD:0018579,GARD:0003460
GARD:0018578,GARD:0003460
GARD:0018577,GARD:0003460
GARD:0018576,GARD:0003460
GARD:0018575,GARD:0003460
GARD:0018472,GARD:0003460
GARD:0020964,GARD:0003475
GARD:0020963,GARD:0003475
GARD:0020962,GARD:0003475
GARD:0020961,GARD:0003475
GARD:0020960,GARD:0003475
GARD:0020959,GARD:0003475
GARD:0015610,GARD:0003562
GARD:0013137,GARD:0003579
GARD:0012621,GARD:0003579
GARD:0012128,GARD:0003579
GARD:0003584,GARD:0003579
GARD:0003582,GARD:0003579
GARD:0017335,GARD:0003586
GARD:0016714,GARD:0003586
GARD:0016156,GARD:0003589
GARD:0012117,GARD:0003603
GARD:0003605,GARD:0003603
