"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","DYRK1B","Q9Y463","CHEMBL5543","Kinase","0.103186936728","37 /  0     "
"Serotonin 2c (5-HT2c) receptor","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.103186936728","186 /  0     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.103186936728","756 /  26     "
"Butyrylcholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.103186936728","75 /  0     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.103186936728","152 /  0     "
"ADAMTS4","ADAMTS4","O75173","CHEMBL2318","Protease","0.103186936728","35 /  0     "
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT2","Q10469","CHEMBL2321630","Enzyme","0.103186936728","14 /  0     "
"Hexokinase type IV","GCK","P35557","CHEMBL3820","Enzyme","0.103186936728","136 /  0     "
"TRAF2- and NCK-interacting kinase","TNIK","Q9UKE5","CHEMBL4527","Kinase","0.103186936728","36 /  0     "
"Diacylglycerol O-acyltransferase 2","DGAT2","Q96PD7","CHEMBL5853","Enzyme","0.103186936728","11 /  0     "
"Thyrotropin-releasing hormone receptor","TRHR","P34981","CHEMBL1810","Family A G protein-coupled receptor","0.103186936728","15 /  0     "
"Tryptophan 2,3-dioxygenase","TDO2","P48775","CHEMBL2140","Enzyme","0.103186936728","4 /  0     "
"Motilin receptor","MLNR","O43193","CHEMBL2203","Family A G protein-coupled receptor","0.103186936728","30 /  0     "
"Endothelin receptor ET-A","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.103186936728","37 /  0     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.103186936728","204 /  0     "
"Ephrin type-B receptor 2","EPHB2","P29323","CHEMBL3290","Kinase","0.103186936728","6 /  0     "
"Calcitonin gene-related peptide type 1 receptor","CALCRL","Q16602","CHEMBL3798","Family B G protein-coupled receptor","0.103186936728","254 /  0     "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.103186936728","71 /  0     "
"Tyrosine-protein kinase TIE-2","TEK","Q02763","CHEMBL4128","Kinase","0.103186936728","150 /  0     "
"Indoleamine 2,3-dioxygenase","IDO1","P14902","CHEMBL4685","Enzyme","0.103186936728","26 /  0     "
"Serine/threonine-protein kinase B-raf","BRAF","P15056","CHEMBL5145","Kinase","0.103186936728","251 /  0     "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.103186936728","147 /  0     "
"Nicotinamide phosphoribosyltransferase","NAMPT","P43490","CHEMBL1744525","Enzyme","0.103186936728","131 /  0     "
