"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Dipeptidyl peptidase IX","DPP9","Q86TI2","CHEMBL4793","Protease","0.106542925976","76 /  0     "
"Serine/threonine-protein kinase Aurora-B","AURKB","Q96GD4","CHEMBL2185","Kinase","0.106542925976","107 /  0     "
"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET","RET","P07949","CHEMBL2041","Kinase","0.106542925976","32 /  0     "
"Platelet-derived growth factor receptor","PDGFRA PDGFRB","P16234 P09619","CHEMBL2095189","Kinase","0.106542925976","6 /  0     "
"Voltage-gated T-type calcium channel alpha-1I subunit","CACNA1I","Q9P0X4","CHEMBL5558","Voltage-gated ion channel","0.106542925976","2 /  0     "
"Membrane-bound transcription factor site-1 protease","MBTPS1","Q14703","CHEMBL5916","Protease","0.106542925976","18 /  0     "
"Serine/threonine-protein kinase RAF","RAF1","P04049","CHEMBL1906","Kinase","0.106542925976","2 /  0     "
"Vasopressin V1b receptor","AVPR1B","P47901","CHEMBL1921","Family A G protein-coupled receptor","0.106542925976","67 /  0     "
"Neuronal acetylcholine receptor; alpha3/beta2","CHRNA3 CHRNB2","P32297 P17787","CHEMBL2109234","Ligand-gated ion channel","0.106542925976","3 /  0     "
"Tyrosine-protein kinase BLK","BLK","P51451","CHEMBL2250","Kinase","0.106542925976","9 /  0     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.106542925976","73 /  0     "
"Tyrosine-protein kinase CSK","CSK","P41240","CHEMBL2634","Kinase","0.106542925976","5 /  0     "
"Tyrosine-protein kinase Lyn","LYN","P07948","CHEMBL3905","Kinase","0.106542925976","46 /  0     "
"Tyrosine-protein kinase TIE-2","TEK","Q02763","CHEMBL4128","Kinase","0.106542925976","25 /  0     "
"Ribosomal protein S6 kinase 1","RPS6KB1","P23443","CHEMBL4501","Kinase","0.106542925976","102 /  0     "
"Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4","HCN4","Q9Y3Q4","CHEMBL1250417","Voltage-gated ion channel","0.106542925976","11 /  0     "
"Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1","HCN1","O60741","CHEMBL1795171","Voltage-gated ion channel","0.106542925976","11 /  0     "
"Insulin-like growth factor I receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.106542925976","191 /  0     "
"Tyrosine-protein kinase ITK/TSK","ITK","Q08881","CHEMBL2959","Kinase","0.106542925976","31 /  0     "
"Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP","PTPN22","Q9Y2R2","CHEMBL2889","Phosphatase","0.106542925976","4 /  0     "
