Gene,Disease,disease_name
mllt3,ORPHA:402017,Orphanet: Acute myeloid leukemia with t(9;11)(p22;q23)
ar,ORPHA:481,Orphanet: Kennedy disease
xpo1,ORPHA:98838,Orphanet: Primary mediastinal large B-cell lymphoma
kcnq4,ORPHA:90635,Orphanet: Rare autosomal dominant non-syndromic sensorineural deafness type DFNA
pnmt,ORPHA:243761,Orphanet: NON RARE IN EUROPE: Essential hypertension
sucla2,ORPHA:1933,"Orphanet: Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria"
il12b,ORPHA:319558,Orphanet: Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency
kdm1a,ORPHA:477993,Orphanet: Palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome
csnk1d,ORPHA:164736,Orphanet: Familial advanced sleep-phase syndrome
esr2,ORPHA:99361,Orphanet: Familial medullary thyroid carcinoma
cyp21a2,ORPHA:95698,Orphanet: NON RARE IN EUROPE: Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
il11ra,ORPHA:284149,Orphanet: Craniosynostosis-dental anomalies
serping1,ORPHA:100051,Orphanet: Hereditary angioedema type 2
trpm4,ORPHA:871,Orphanet: Familial progressive cardiac conduction defect
gata2,ORPHA:228423,Orphanet: Monocytopenia with susceptibility to infections
pla2g6,ORPHA:35069,Orphanet: Infantile neuroaxonal dystrophy
lpl,ORPHA:309015,Orphanet: Familial lipoprotein lipase deficiency
cth,ORPHA:212,Orphanet: Cystathioninuria
ptpn2,ORPHA:771,Orphanet: NON RARE IN EUROPE: Ulcerative colitis
notch3,ORPHA:2591,Orphanet: Infantile myofibromatosis
angpt1,ORPHA:599418,Orphanet: Hereditary angioedema with normal C1Inh not related to F12 or PLG variant
il2rg,ORPHA:39041,Orphanet: Omenn syndrome
il2rb,ORPHA:85408,Orphanet: Rheumatoid factor-negative polyarticular juvenile idiopathic arthritis
iars1,ORPHA:541423,Orphanet: Growth delay-intellectual disability-hepatopathy syndrome
apc,ORPHA:247806,Orphanet: APC-related attenuated familial adenomatous polyposis
tcf4,ORPHA:98974,Orphanet: Fuchs endothelial corneal dystrophy
pi4ka,ORPHA:436252,Orphanet: Combined immunodeficiency-enteropathy spectrum
gabra3,ORPHA:79102,Orphanet: Thyrotoxic periodic paralysis
abl1,ORPHA:521,Orphanet: Chronic myeloid leukemia
tet2,ORPHA:729,Orphanet: Polycythemia vera
ldha,ORPHA:284426,Orphanet: Glycogen storage disease due to lactate dehydrogenase M-subunit deficiency
gabrd,ORPHA:1606,Orphanet: 1p36 deletion syndrome
dgat1,ORPHA:329242,Orphanet: Congenital chronic diarrhea with protein-losing enteropathy
eif2ak3,ORPHA:1667,Orphanet: Wolcott-Rallison syndrome
tnfrsf4,ORPHA:431149,Orphanet: Combined immunodeficiency due to OX40 deficiency
ak1,ORPHA:86817,Orphanet: Hemolytic anemia due to adenylate kinase deficiency
gabrb3,ORPHA:64280,Orphanet: Childhood absence epilepsy
wnk4,ORPHA:88939,Orphanet: Pseudohypoaldosteronism type 2B
phip,ORPHA:589905,Orphanet: PHIP-related behavioral problems-intellectual disability-obesity-dysmorphic features syndrome
wdr11,ORPHA:432,Orphanet: Normosmic congenital hypogonadotropic hypogonadism
ikzf3,ORPHA:67038,Orphanet: B-cell chronic lymphocytic leukemia
sf3b1,ORPHA:39044,Orphanet: Uveal melanoma
prnp,ORPHA:466,Orphanet: Fatal familial insomnia
dkk1,ORPHA:85193,Orphanet: Idiopathic juvenile osteoporosis
jak1,ORPHA:574957,Orphanet: Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial JAK1 deficiency
mmp19,ORPHA:464760,Orphanet: Familial cavitary optic disc anomaly
c5,ORPHA:169150,Orphanet: Immunodeficiency due to a late component of complement deficiency
trpc3,ORPHA:458798,Orphanet: Spinocerebellar ataxia type 41
chm,ORPHA:180,Orphanet: Choroideremia
rac1,ORPHA:500159,Orphanet: Microcephaly-corpus callosum and cerebellar vermis hypoplasia-facial dysmorphism-intellectual disability syndrom
chst14,ORPHA:2953,Orphanet: Musculocontractural Ehlers-Danlos syndrome
kcnt1,ORPHA:293181,Orphanet: Malignant migrating focal seizures of infancy
park7,ORPHA:90020,Orphanet: Parkinson-dementia complex of Guam
treh,ORPHA:103909,Orphanet: Trehalase deficiency
cdk4,ORPHA:618,Orphanet: Familial melanoma
uqcrb,ORPHA:1460,Orphanet: Isolated complex III deficiency
zap70,ORPHA:911,Orphanet: Combined immunodeficiency due to ZAP70 deficiency
sox9,ORPHA:2138,"Orphanet: 46,XX ovotesticular difference of sex development"
nbn,ORPHA:647,Orphanet: Nijmegen breakage syndrome
lin28b,ORPHA:635,Orphanet: Neuroblastoma
tpm4,ORPHA:140957,Orphanet: Autosomal dominant macrothrombocytopenia
epor,ORPHA:90042,Orphanet: Primary familial polycythemia
csf2rb,ORPHA:264675,Orphanet: Hereditary pulmonary alveolar proteinosis
tfrc,ORPHA:476113,Orphanet: Combined immunodeficiency due to TFRC deficiency
gpnmb,ORPHA:319635,Orphanet: Amyloidosis cutis dyschromia
ctnnb1,ORPHA:85142,Orphanet: NON RARE IN EUROPE: Aldosterone-producing adenoma
dpagt1,ORPHA:86309,Orphanet: DPAGT1-CDG
ikbkg,ORPHA:319612,Orphanet: X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency
tgfb2,ORPHA:91387,Orphanet: Familial thoracic aortic aneurysm and aortic dissection
sc5d,ORPHA:46059,Orphanet: Lathosterolosis
limk1,ORPHA:904,Orphanet: Williams syndrome
cenpe,ORPHA:808,Orphanet: Seckel syndrome
atp6v1b1,ORPHA:402041,Orphanet: Autosomal recessive distal renal tubular acidosis
sts,ORPHA:461,Orphanet: Recessive X-linked ichthyosis
pde3a,ORPHA:1276,Orphanet: Brachydactyly-arterial hypertension syndrome
ntrk2,ORPHA:251615,Orphanet: Pilomyxoid astrocytoma
l1cam,ORPHA:2182,Orphanet: Hydrocephalus with stenosis of the aqueduct of Sylvius
serpinc1,ORPHA:82,Orphanet: Hereditary thrombophilia due to congenital antithrombin deficiency
aifm1,ORPHA:83629,Orphanet: Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome
apoc3,ORPHA:426,Orphanet: NON RARE IN EUROPE: Familial hypobetalipoproteinemia
myh2,ORPHA:363677,Orphanet: Childhood-onset autosomal recessive myopathy with external ophthalmoplegia
slc12a2,ORPHA:633021,Orphanet: SLC12A2-related autosomal recessive neonatal-developmental delay-intellectual disability-feeding difficulty-sensorineural deafness syndrome
gata4,ORPHA:576232,Orphanet: Partial atrioventricular septal defect with ventricular hypoplasia
pcsk9,ORPHA:406,Orphanet: NON RARE IN EUROPE: Heterozygous familial hypercholesterolemia
hnrnpa2b1,ORPHA:52430,Orphanet: Inclusion body myopathy with Paget disease of bone and frontotemporal dementia
slc27a5,ORPHA:276066,Orphanet: Bile acid CoA ligase deficiency and defective amidation
b4galt1,ORPHA:79332,Orphanet: B4GALT1-CDG
ldhb,ORPHA:284435,Orphanet: Glycogen storage disease due to lactate dehydrogenase H-subunit deficiency
aldh18a1,ORPHA:447760,Orphanet: Autosomal recessive spastic paraplegia type 9B
nr4a2,ORPHA:98808,Orphanet: Autosomal dominant dopa-responsive dystonia
aqp2,ORPHA:223,Orphanet: Arginine vasopressin resistance
dpp9,ORPHA:2032,Orphanet: Idiopathic pulmonary fibrosis
ghsr,ORPHA:314811,Orphanet: Short stature due to GHSR deficiency
gnpat,ORPHA:309796,Orphanet: Rhizomelic chondrodysplasia punctata type 2
il1rn,ORPHA:210115,Orphanet: Sterile multifocal osteomyelitis with periostitis and pustulosis
rbck1,ORPHA:397937,Orphanet: Polyglucosan body myopathy type 1
rnf31,ORPHA:329173,Orphanet: Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis
fcgr3a,ORPHA:437552,Orphanet: Autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity
aurkc,ORPHA:137893,Orphanet: Male infertility due to large-headed multiflagellar polyploid spermatozoa
grm6,ORPHA:215,Orphanet: Congenital stationary night blindness
pde8b,ORPHA:228169,Orphanet: Autosomal dominant striatal neurodegeneration
gnaq,ORPHA:624,Orphanet: Familial multiple nevi flammei
gna11,ORPHA:428,Orphanet: Autosomal dominant hypocalcemia
trpv4,ORPHA:85169,Orphanet: Familial digital arthropathy-brachydactyly
phkg2,ORPHA:264580,Orphanet: Glycogen storage disease due to liver phosphorylase kinase deficiency
pdcd1,ORPHA:536,Orphanet: Systemic lupus erythematosus
nthl1,ORPHA:454840,Orphanet: NTHL1-related attenuated familial adenomatous polyposis
inhba,ORPHA:213504,Orphanet: Adenocarcinoma of ovary
pah,ORPHA:2209,Orphanet: Maternal phenylketonuria
mid1,ORPHA:2745,Orphanet: Opitz GBBB syndrome
chrnb2,ORPHA:98784,Orphanet: Autosomal dominant nocturnal frontal lobe epilepsy
kif23,ORPHA:98870,Orphanet: Congenital dyserythropoietic anemia type III
