Gene,Disease,disease_name
prune1,ORPHA:544469,Orphanet: PRUNE1-related neurological syndrome
nherf1,ORPHA:244305,Orphanet: Dominant hypophosphatemia with nephrolithiasis or osteoporosis
mmadhc,ORPHA:79283,"Orphanet: Methylmalonic acidemia with homocystinuria, type cblD"
mmp1,ORPHA:79408,"Orphanet: Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form"
ghr,ORPHA:633,Orphanet: Laron syndrome
kdm5c,ORPHA:85279,Orphanet: KDM5C-related syndromic X-linked intellectual disability
ghrhr,ORPHA:231671,Orphanet: Isolated growth hormone deficiency type IB
stat3,ORPHA:438159,Orphanet: STAT3-related early-onset multisystem autoimmune disease
elovl5,ORPHA:423296,Orphanet: Spinocerebellar ataxia type 38
pla2g4a,ORPHA:468635,Orphanet: Cryptogenic multifocal ulcerous stenosing enteritis
cx3cr1,ORPHA:279,Orphanet: NON RARE IN EUROPE: Age-related macular degeneration
msn,ORPHA:504530,Orphanet: Combined immunodeficiency due to Moesin deficiency
epcam,ORPHA:92050,Orphanet: Congenital tufting enteropathy
erlin2,ORPHA:247604,Orphanet: Juvenile primary lateral sclerosis
kif20a,ORPHA:75249,Orphanet: Familial isolated restrictive cardiomyopathy
top2b,ORPHA:567502,Orphanet: B-cell immunodeficiency-limb anomaly-urogenital malformation syndrome
kpna3,ORPHA:171612,Orphanet: Autosomal dominant spastic paraplegia type 37
flna,ORPHA:2484,Orphanet: Melnick-Needles syndrome
ace,ORPHA:34145,Orphanet: Immunoglobulin A nephropathy
ak2,ORPHA:33355,Orphanet: Reticular dysgenesis
kif7,ORPHA:2189,Orphanet: Hydrolethalus
pdhb,ORPHA:255138,Orphanet: Pyruvate dehydrogenase E1-beta deficiency
chkb,ORPHA:521305,Orphanet: Proximal myopathy with focal depletion of mitochondria
il10rb,ORPHA:238569,Orphanet: Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome
cat,ORPHA:926,Orphanet: Acatalasemia
ptpn14,ORPHA:99141,Orphanet: Lymphedema-posterior choanal atresia syndrome
timm50,ORPHA:505216,Orphanet: 3-methylglutaconic aciduria type 9
cacna1d,ORPHA:369929,Orphanet: Primary hyperaldosteronism-seizures-neurological abnormalities syndrome
cacnb4,ORPHA:211067,Orphanet: Episodic ataxia type 5
il21,ORPHA:477661,Orphanet: IL21-related infantile inflammatory bowel disease
hoga1,ORPHA:93600,Orphanet: Primary hyperoxaluria type 3
nr2f1,ORPHA:401777,Orphanet: Optic atrophy-intellectual disability syndrome
kif5a,ORPHA:100991,Orphanet: Autosomal dominant spastic paraplegia type 10
lmna,ORPHA:2229,Orphanet: Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome
f10,ORPHA:328,Orphanet: Congenital factor X deficiency
gpr101,ORPHA:963,Orphanet: Acromegaly
tyr,ORPHA:352734,Orphanet: Minimal pigment oculocutaneous albinism type 1
rad54l,ORPHA:227535,Orphanet: Hereditary breast cancer
mecom,ORPHA:71289,Orphanet: Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome
ggt1,ORPHA:33573,Orphanet: Gamma-glutamyl transpeptidase deficiency
mecp2,ORPHA:1762,Orphanet: Proximal Xq28 duplication syndrome
lama1,ORPHA:370022,Orphanet: Ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome
lama2,ORPHA:258,Orphanet: Laminin subunit alpha 2-related congenital muscular dystrophy
lama3,ORPHA:2407,Orphanet: Laryngo-onycho-cutaneous syndrome
lama5,ORPHA:521450,Orphanet: LAMA5-related multisystemic syndrome
lamb1,ORPHA:352682,Orphanet: Cobblestone lissencephaly without muscular or ocular involvement
lamb2,ORPHA:98915,Orphanet: Synaptic congenital myasthenic syndromes
lamb3,ORPHA:100031,Orphanet: Hypoplastic amelogenesis imperfecta
lamc2,ORPHA:79402,Orphanet: Intermediate generalized junctional epidermolysis bullosa
lamc3,ORPHA:280640,Orphanet: Occipital pachygyria and polymicrogyria
col4a4,ORPHA:88918,Orphanet: Autosomal dominant Alport syndrome
fzd4,ORPHA:91495,Orphanet: Persistent hyperplastic primary vitreous
hsd11b2,ORPHA:320,Orphanet: Apparent mineralocorticoid excess
tubb4a,ORPHA:98805,"Orphanet: Primary dystonia, DYT4 type"
tubb8,ORPHA:488191,Orphanet: Female infertility due to oocyte meiotic arrest
tubb,ORPHA:2505,Orphanet: Multiple benign circumferential skin creases on limbs
tubb2b,ORPHA:1766,Orphanet: Dysequilibrium syndrome
mastl,ORPHA:168629,Orphanet: Autosomal thrombocytopenia with normal platelets
sec23a,ORPHA:50814,Orphanet: Craniolenticulosutural dysplasia
lrpprc,ORPHA:70472,"Orphanet: Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type"
slc6a8,ORPHA:52503,Orphanet: X-linked creatine transporter deficiency
mmel1,ORPHA:186,Orphanet: Primary biliary cholangitis
tnni2,ORPHA:1146,Orphanet: Distal arthrogryposis type 1
cxcr2,ORPHA:420699,Orphanet: Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency
nek8,ORPHA:93591,Orphanet: Infantile nephronophthisis
cbs,ORPHA:394,Orphanet: Homocystinuria due to cystathionine beta-synthase deficiency
mpo,ORPHA:2587,Orphanet: Myeloperoxidase deficiency
ptpn11,ORPHA:500,Orphanet: Noonan syndrome with multiple lentigines
slc2a1,ORPHA:53583,Orphanet: Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity
btd,ORPHA:79241,Orphanet: Biotinidase deficiency
trpa1,ORPHA:391389,Orphanet: Familial episodic pain syndrome with predominantly upper body involvement
ngly1,ORPHA:404454,Orphanet: Alacrimia-choreoathetosis-liver dysfunction syndrome
gjb1,ORPHA:1175,Orphanet: X-linked progressive cerebellar ataxia
cd70,ORPHA:538958,Orphanet: Combined immunodeficiency due to CD70 deficiency
prkacb,ORPHA:289,Orphanet: Ellis Van Creveld syndrome
fxn,ORPHA:95,Orphanet: Friedreich ataxia
il2ra,ORPHA:169100,Orphanet: Immunodeficiency due to CD25 deficiency
afg2a,ORPHA:457351,Orphanet: Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome
man2b1,ORPHA:309288,"Orphanet: Alpha-mannosidosis, adult form"
adcy6,ORPHA:2680,Orphanet: Hypomyelination neuropathy-arthrogryposis syndrome
akr1c2,ORPHA:443087,"Orphanet: 46,XY difference of sex development due to testicular 17,20-desmolase deficiency"
nr3c1,ORPHA:786,Orphanet: Generalized glucocorticoid resistance syndrome
kcnj2,ORPHA:37553,Orphanet: Andersen-Tawil syndrome
sult2b1,ORPHA:79394,Orphanet: Congenital ichthyosiform erythroderma
lepr,ORPHA:179494,Orphanet: Obesity due to leptin receptor gene deficiency
ttpa,ORPHA:96,Orphanet: Ataxia with vitamin E deficiency
scn4a,ORPHA:99734,Orphanet: Myotonia fluctuans
dag1,ORPHA:899,Orphanet: Walker-Warburg syndrome
nfkbia,ORPHA:98813,Orphanet: Hypohidrotic ectodermal dysplasia with immunodeficiency
arfgef2,ORPHA:98892,Orphanet: Periventricular nodular heterotopia
cyb5r3,ORPHA:621,Orphanet: Hereditary methemoglobinemia
slc33a1,ORPHA:300313,Orphanet: Congenital cataract-hearing loss-severe developmental delay syndrome
itga3,ORPHA:306504,Orphanet: Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome
opa1,ORPHA:1215,Orphanet: Autosomal dominant optic atrophy plus syndrome
eif2ak2,ORPHA:256,Orphanet: Early-onset generalized limb-onset dystonia
slco2a1,ORPHA:468641,Orphanet: Chronic enteropathy associated with SLCO2A1 gene
slc9a1,ORPHA:448251,Orphanet: Progressive autosomal recessive ataxia-deafness syndrome
mylk,ORPHA:2241,Orphanet: Megacystis-microcolon-intestinal hypoperistalsis syndrome
cyp11a1,ORPHA:168558,"Orphanet: 46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency"
slc16a1,ORPHA:438075,Orphanet: Ketoacidosis due to monocarboxylate transporter-1 deficiency
gsr,ORPHA:90030,Orphanet: Hemolytic anemia due to glutathione reductase deficiency
antxr2,ORPHA:2176,Orphanet: Infantile systemic hyalinosis
nuak2,ORPHA:563609,Orphanet: Isolated anencephaly
pip4k2a,ORPHA:585936,Orphanet: B-lymphoblastic leukemia/lymphoma with hyperdiploidy
dyrk1b,ORPHA:411969,Orphanet: NON RARE IN EUROPE: Metabolic syndrome
pycr1,ORPHA:357064,Orphanet: Autosomal recessive cutis laxa type 2B
rrm2b,ORPHA:480,Orphanet: Kearns-Sayre syndrome
kitlg,ORPHA:79146,Orphanet: Familial progressive hyperpigmentation
pomgnt1,ORPHA:588,Orphanet: Muscle-eye-brain disease
gnmt,ORPHA:289891,Orphanet: Hypermethioninemia due to glycine N-methyltransferase deficiency
alg2,ORPHA:79326,Orphanet: ALG2-CDG
mlycd,ORPHA:943,Orphanet: Malonic aciduria
slc6a9,ORPHA:289860,Orphanet: Infantile glycine encephalopathy
adgrg2,ORPHA:48,Orphanet: Congenital bilateral absence of vas deferens
kif15,ORPHA:261323,Orphanet: 21q22.11q22.12 microdeletion syndrome
slco1b3,ORPHA:3111,Orphanet: Rotor syndrome
psen2,ORPHA:1020,Orphanet: Early-onset autosomal dominant Alzheimer disease
crybb2,ORPHA:98985,Orphanet: Early-onset sutural cataract
gne,ORPHA:602,Orphanet: GNE myopathy
kiss1r,ORPHA:650077,Orphanet: Genetic central precocious puberty in female
apoa1,ORPHA:93560,Orphanet: AApoAI amyloidosis
kmt2d,ORPHA:589856,Orphanet: Choanal atresia-athelia-hypothyroidism-delayed puberty-short stature syndrome
plau,ORPHA:220436,Orphanet: Quebec platelet disorder
inppl1,ORPHA:3144,Orphanet: Schneckenbecken dysplasia
eif4e,ORPHA:106,Orphanet: NON RARE IN EUROPE: Autism
prtn3,ORPHA:900,Orphanet: Granulomatosis with polyangiitis
dpys,ORPHA:38874,Orphanet: Dihydropyrimidinuria
osmr,ORPHA:353220,Orphanet: Familial primary localized cutaneous amyloidosis
itch,ORPHA:228426,Orphanet: Syndromic multisystem autoimmune disease due to Itch deficiency
cdh3,ORPHA:1897,Orphanet: EEM syndrome
pnkp,ORPHA:101101,Orphanet: Charcot-Marie-Tooth disease type 2B2
smarca4,ORPHA:466962,Orphanet: SMARCA4-deficient sarcoma of thorax
notch2,ORPHA:955,Orphanet: Hajdu-Cheney syndrome
mlc1,ORPHA:2478,Orphanet: Megalencephalic leukoencephalopathy with subcortical cysts
app,ORPHA:100006,"Orphanet: ABeta amyloidosis, Dutch type"
gli2,ORPHA:420584,Orphanet: Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome
tnni3k,ORPHA:436242,Orphanet: Familial atrial tachyarrhythmia-infra-Hisian cardiac conduction disease
nfkb2,ORPHA:293978,Orphanet: Deficiency in anterior pituitary function-variable immunodeficiency syndrome
flad1,ORPHA:394529,"Orphanet: Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type"
elovl4,ORPHA:1955,Orphanet: Spinocerebellar ataxia type 34
tars2,ORPHA:420733,Orphanet: Combined oxidative phosphorylation defect type 21
slc19a2,ORPHA:49827,Orphanet: Thiamine-responsive megaloblastic anemia syndrome
dsp,ORPHA:293165,Orphanet: Skin fragility-woolly hair-palmoplantar keratoderma syndrome
nr0b1,ORPHA:95702,Orphanet: X-linked adrenal hypoplasia congenita
mat1a,ORPHA:168598,Orphanet: Methionine adenosyltransferase I/III deficiency
slc25a3,ORPHA:91130,Orphanet: Cardiomyopathy-hypotonia-lactic acidosis syndrome
hla-a,ORPHA:179,Orphanet: Birdshot chorioretinopathy
ren,ORPHA:217330,Orphanet: REN-related autosomal dominant tubulointerstitial kidney disease
rnaseh1,ORPHA:329336,Orphanet: Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy
gnas,ORPHA:94089,Orphanet: Pseudohypoparathyroidism type 1B
dnase1l3,ORPHA:36412,Orphanet: Hypocomplementemic urticarial vasculitis
csf1r,ORPHA:556985,Orphanet: Early-onset calcifying leukoencephalopathy-skeletal dysplasia
map3k20,ORPHA:488232,Orphanet: Split-foot malformation-mesoaxial polydactyly syndrome
abhd16a,ORPHA:631085,Orphanet: Autosomal recessive spastic paraplegia type 86
cbx2,ORPHA:242,"Orphanet: 46,XY complete gonadal dysgenesis"
lars1,ORPHA:370088,Orphanet: Acute infantile liver failure-multisystemic involvement syndrome
hsd11b1,ORPHA:168588,Orphanet: Hyperandrogenism due to cortisone reductase deficiency
por,ORPHA:95699,Orphanet: Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency
dicer1,ORPHA:99757,Orphanet: Embryonal rhabdomyosarcoma
nr2f2,ORPHA:99068,Orphanet: Complete atrioventricular septal defect-tetralogy of Fallot
tbxt,ORPHA:397927,Orphanet: Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome
nod2,ORPHA:90340,Orphanet: Blau syndrome
ifngr2,ORPHA:319589,Orphanet: Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency
ifngr1,ORPHA:319581,Orphanet: Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency
hdc,ORPHA:856,Orphanet: NON RARE IN EUROPE: Tourette syndrome
pikfyve,ORPHA:98970,Orphanet: Fleck corneal dystrophy
lifr,ORPHA:3206,Orphanet: Stüve-Wiedemann syndrome
ntrk3,ORPHA:2665,Orphanet: Congenital mesoblastic nephroma
myd88,ORPHA:183713,Orphanet: Bacterial susceptibility due to TLR signaling pathway deficiency
tfr2,ORPHA:648581,Orphanet: Digenic hemochromatosis
vim,ORPHA:98984,Orphanet: Pulverulent cataract
aldoa,ORPHA:57,Orphanet: Glycogen storage disease due to aldolase A deficiency
pla2g5,ORPHA:363989,Orphanet: Familial benign flecked retina
aprt,ORPHA:976,Orphanet: Adenine phosphoribosyltransferase deficiency
itgb2,ORPHA:99842,Orphanet: Leukocyte adhesion deficiency type I
acadm,ORPHA:42,Orphanet: Medium chain acyl-CoA dehydrogenase deficiency
slc26a3,ORPHA:53689,Orphanet: Congenital chloride diarrhea
serpina7,ORPHA:209893,Orphanet: NON RARE IN EUROPE: Congenital isolated thyroxine-binding globulin deficiency
polg2,ORPHA:254892,Orphanet: Autosomal dominant progressive external ophthalmoplegia
ngf,ORPHA:64752,Orphanet: Hereditary sensory and autonomic neuropathy type 5
prkacg,ORPHA:438207,Orphanet: Severe autosomal recessive macrothrombocytopenia
banf1,ORPHA:280576,Orphanet: Nestor-Guillermo progeria syndrome
diaph1,ORPHA:2573,Orphanet: Moyamoya disease
hps6,ORPHA:231512,Orphanet: Hermansky-Pudlak syndrome due to BLOC-2 deficiency
mapkapk3,ORPHA:466718,Orphanet: Martinique crinkled retinal pigment epitheliopathy
mc4r,ORPHA:71529,Orphanet: Obesity due to melanocortin 4 receptor deficiency
csf3r,ORPHA:279943,Orphanet: Hereditary neutrophilia
galk1,ORPHA:79237,Orphanet: Galactokinase deficiency
eif4a3,ORPHA:3102,Orphanet: Richieri Costa-Pereira syndrome
mars2,ORPHA:314603,Orphanet: Autosomal recessive spastic ataxia with leukoencephalopathy
gli1,ORPHA:93334,Orphanet: Postaxial polydactyly type A
mmp13,ORPHA:93356,"Orphanet: Spondyloepimetaphyseal dysplasia, Missouri type"
slc11a2,ORPHA:83642,Orphanet: Microcytic anemia with liver iron overload
ctsf,ORPHA:79262,Orphanet: Adult neuronal ceroid lipofuscinosis
flnb,ORPHA:503,Orphanet: Larsen syndrome
farsb,ORPHA:178506,"Orphanet: Brain calcification, Rajab type"
mcm6,ORPHA:319681,Orphanet: NON RARE IN EUROPE: Lactase non-persistence in adulthood
npr2,ORPHA:329191,Orphanet: Tall stature-long halluces-multiple extra-epiphyses syndrome
gjb2,ORPHA:2202,Orphanet: Palmoplantar keratoderma-deafness syndrome
hcn4,ORPHA:166282,Orphanet: Familial sick sinus syndrome
star,ORPHA:361,Orphanet: Familial glucocorticoid deficiency
fzd2,ORPHA:93328,Orphanet: Autosomal dominant omodysplasia
pnpla2,ORPHA:98908,Orphanet: Neutral lipid storage disease with myopathy
abcb11,ORPHA:79304,Orphanet: Progressive familial intrahepatic cholestasis type 2
naa10,ORPHA:568,"Orphanet: Microphthalmia, Lenz type"
mlx,ORPHA:3287,Orphanet: Takayasu arteritis
hspa9,ORPHA:496751,Orphanet: EVEN-plus syndrome
aqp5,ORPHA:2337,"Orphanet: Diffuse palmoplantar keratoderma, Bothnian type"
gnai3,ORPHA:137888,Orphanet: Auriculocondylar syndrome
thpo,ORPHA:397692,Orphanet: Hereditary isolated aplastic anemia
ephx1,ORPHA:238475,Orphanet: Familial hypercholanemia
cct5,ORPHA:139578,Orphanet: Mutilating hereditary sensory neuropathy with spastic paraplegia
adamts13,ORPHA:93583,Orphanet: Congenital thrombotic thrombocytopenic purpura
coro1a,ORPHA:228003,Orphanet: Severe combined immunodeficiency due to CORO1A deficiency
slc1a4,ORPHA:447997,Orphanet: Spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome
mtap,ORPHA:85182,Orphanet: Diaphyseal medullary stenosis-bone malignancy syndrome
dpyd,ORPHA:1675,Orphanet: Dihydropyrimidine dehydrogenase deficiency
ap1b1,ORPHA:171851,Orphanet: MEDNIK syndrome
tafazzin,ORPHA:111,Orphanet: Barth syndrome
gpr161,ORPHA:95496,Orphanet: Pituitary stalk interruption syndrome
agxt,ORPHA:93598,Orphanet: Primary hyperoxaluria type 1
kmt2c,ORPHA:261652,Orphanet: Kleefstra syndrome due to a point mutation
mfn2,ORPHA:64751,Orphanet: Hereditary motor and sensory neuropathy type 5
galns,ORPHA:309297,Orphanet: Mucopolysaccharidosis type 4A
fli1,ORPHA:2308,Orphanet: Jacobsen syndrome
afg3l2,ORPHA:101109,Orphanet: Spinocerebellar ataxia type 28
porcn,ORPHA:2092,Orphanet: Focal dermal hypoplasia
scp2,ORPHA:163684,Orphanet: Leukoencephalopathy-dystonia-motor neuropathy syndrome
tacstd2,ORPHA:98957,Orphanet: Gelatinous drop-like corneal dystrophy
aldh3a2,ORPHA:816,Orphanet: Sjögren-Larsson syndrome
cpt2,ORPHA:263524,Orphanet: Acute necrotizing encephalopathy of childhood
cpt1a,ORPHA:156,Orphanet: Carnitine palmitoyl transferase 1A deficiency
arg1,ORPHA:90,Orphanet: Argininemia
mylk2,ORPHA:155,Orphanet: NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy
kat6b,ORPHA:3047,"Orphanet: Blepharophimosis-intellectual disability syndrome, SBBYS type"
bdnf,ORPHA:661,Orphanet: Congenital central hypoventilation syndrome
pepd,ORPHA:742,Orphanet: Prolidase deficiency
adk,ORPHA:289290,Orphanet: Hypermethioninemia encephalopathy due to adenosine kinase deficiency
cog4,ORPHA:85172,"Orphanet: Microcephalic osteodysplastic dysplasia, Saul-Wilson type"
gys2,ORPHA:2089,Orphanet: Glycogen storage disease due to hepatic glycogen synthase deficiency
setd2,ORPHA:821,Orphanet: Sotos syndrome
slc18a2,ORPHA:352649,Orphanet: Brain dopamine-serotonin vesicular transport disease
phgdh,ORPHA:583607,Orphanet: Neu-Laxova syndrome due to 3-phosphoglycerate dehydrogenase deficiency
dhx30,ORPHA:647788,Orphanet: Neurodevelopmental delay-intellectual disability-ataxia-feeding difficulty syndrome
grhpr,ORPHA:93599,Orphanet: Primary hyperoxaluria type 2
jag1,ORPHA:261600,Orphanet: Alagille syndrome due to 20p12 microdeletion
fa2h,ORPHA:329308,Orphanet: Fatty acid hydroxylase-associated neurodegeneration
qars1,ORPHA:404437,Orphanet: Diffuse cerebral and cerebellar atrophy-intractable seizures-progressive microcephaly syndrome
stat6,ORPHA:2126,Orphanet: Solitary fibrous tumor
nt5c2,ORPHA:320396,Orphanet: Autosomal recessive spastic paraplegia type 45
ifih1,ORPHA:85191,Orphanet: Singleton-Merten dysplasia
map3k14,ORPHA:447731,Orphanet: NIK deficiency
cd55,ORPHA:566175,Orphanet: Complement hyperactivation-angiopathic thrombosis-protein-losing enteropathy syndrome
acox1,ORPHA:2971,Orphanet: Peroxisomal acyl-CoA oxidase deficiency
tdo2,ORPHA:2224,Orphanet: Hypertryptophanemia
fech,ORPHA:79278,Orphanet: Autosomal erythropoietic protoporphyria
glul,ORPHA:71278,Orphanet: Congenital brain dysgenesis due to glutamine synthetase deficiency
gfpt1,ORPHA:353327,Orphanet: Congenital myasthenic syndromes with glycosylation defect
slc26a4,ORPHA:705,Orphanet: Pendred syndrome
slc35a2,ORPHA:268973,Orphanet: Isolated focal cortical dysplasia type Ia
cog1,ORPHA:263508,Orphanet: COG1-CDG
il6r,ORPHA:641368,Orphanet: Autosomal recessive hyper-IgE syndrome due to ZNF341 deficiency
hsd17b3,ORPHA:752,"Orphanet: 46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency"
gpi,ORPHA:712,Orphanet: Hemolytic anemia due to glucophosphate isomerase deficiency
itpa,ORPHA:457375,Orphanet: ITPA-related lethal infantile neurological disorder with cataract and cardiac involvement
pld3,ORPHA:589522,Orphanet: Spinocerebellar ataxia type 46
gars1,ORPHA:139536,Orphanet: Distal hereditary motor neuropathy type 5
mag,ORPHA:459056,Orphanet: Autosomal recessive spastic paraplegia type 75
tgfbr2,ORPHA:284973,Orphanet: Marfan syndrome type 2
pnpo,ORPHA:79096,Orphanet: Pyridoxal phosphate-responsive seizures
prlr,ORPHA:397685,Orphanet: Familial hyperprolactinemia
fxyd2,ORPHA:34528,Orphanet: Autosomal dominant primary hypomagnesemia with hypocalciuria
ripk4,ORPHA:1234,Orphanet: Bartsocas-Papas syndrome
coq8a,ORPHA:139485,Orphanet: Autosomal recessive ataxia due to ubiquinone deficiency
gcdh,ORPHA:25,Orphanet: Glutaryl-CoA dehydrogenase deficiency
asph,ORPHA:412022,Orphanet: Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome
gck,ORPHA:79299,Orphanet: Congenital glucokinase-related hyperinsulinism
atp7a,ORPHA:565,Orphanet: Menkes disease
psen1,ORPHA:100069,Orphanet: Semantic dementia
fgd1,ORPHA:915,Orphanet: Aarskog-Scott syndrome
prdm12,ORPHA:478664,Orphanet: Hereditary sensory and autonomic neuropathy type 8
kcnk9,ORPHA:166108,"Orphanet: Intellectual disability, Birk-Barel type"
plod2,ORPHA:2771,Orphanet: Bruck syndrome
vars1,ORPHA:420728,Orphanet: Combined oxidative phosphorylation defect type 20
aldh5a1,ORPHA:22,Orphanet: Succinic semialdehyde dehydrogenase deficiency
masp2,ORPHA:331187,Orphanet: Immunodeficiency due to MASP-2 deficiency
trpv3,ORPHA:448264,Orphanet: Isolated focal non-epidermolytic palmoplantar keratoderma
grb10,ORPHA:96182,Orphanet: Silver-Russell syndrome due to maternal uniparental disomy of chromosome 7
igf1,ORPHA:73272,Orphanet: Growth delay due to insulin-like growth factor type 1 deficiency
slc2a2,ORPHA:2088,Orphanet: Fanconi-Bickel syndrome
itgb6,ORPHA:100032,Orphanet: Hypocalcified amelogenesis imperfecta
mgat2,ORPHA:79329,Orphanet: MGAT2-CDG
gk,ORPHA:284414,"Orphanet: Glycerol kinase deficiency, adult form"
sptlc2,ORPHA:36386,Orphanet: Hereditary sensory and autonomic neuropathy type 1
cyp11b2,ORPHA:556030,Orphanet: Early-onset familial hypoaldosteronism
brf1,ORPHA:444072,Orphanet: Cerebellar-facial-dental syndrome
bpgm,ORPHA:714,Orphanet: Hemolytic anemia due to diphosphoglycerate mutase deficiency
smad3,ORPHA:284984,Orphanet: Aneurysm-osteoarthritis syndrome
manba,ORPHA:118,Orphanet: Beta-mannosidosis
pigw,ORPHA:83639,Orphanet: Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency
folr1,ORPHA:217382,Orphanet: Neurodegenerative syndrome due to cerebral folate transport deficiency
cxcr4,ORPHA:51636,Orphanet: WHIM syndrome
dgke,ORPHA:357008,Orphanet: Hemolytic uremic syndrome with DGKE deficiency
pkp1,ORPHA:158668,Orphanet: Ectodermal dysplasia-skin fragility syndrome
gpr143,ORPHA:651,Orphanet: NON RARE IN EUROPE: Idiopathic infantile nystagmus
piezo1,ORPHA:568062,Orphanet: PIEZO1-related generalized lymphatic dysplasia with non-immune hydrops fetalis
lrp2,ORPHA:2143,Orphanet: Donnai-Barrow syndrome
kcnk3,ORPHA:275777,Orphanet: Heritable pulmonary arterial hypertension
tshr,ORPHA:424,Orphanet: Familial hyperthyroidism due to mutations in TSH receptor
bmp2,ORPHA:93396,Orphanet: Brachydactyly type A2
pnpla6,ORPHA:1173,Orphanet: Cerebellar ataxia-hypogonadism syndrome
col2a1,ORPHA:85166,"Orphanet: Platyspondylic dysplasia, Torrance type"
umps,ORPHA:30,Orphanet: Hereditary orotic aciduria
masp1,ORPHA:293843,Orphanet: 3MC syndrome
abat,ORPHA:2066,Orphanet: Gamma-aminobutyric acid transaminase deficiency
pex14,ORPHA:772,Orphanet: Infantile Refsum disease
nek9,ORPHA:464366,Orphanet: NEK9-related lethal skeletal dysplasia
cps1,ORPHA:147,Orphanet: Carbamoyl-phosphate synthetase 1 deficiency
rac2,ORPHA:183707,Orphanet: Neutrophil immunodeficiency syndrome
rabl3,ORPHA:1333,Orphanet: Familial pancreatic carcinoma
agps,ORPHA:309803,Orphanet: Rhizomelic chondrodysplasia punctata type 3
nsd1,ORPHA:238613,Orphanet: Beckwith-Wiedemann syndrome due to NSD1 mutation
cst3,ORPHA:100008,Orphanet: ACys amyloidosis
ahcy,ORPHA:88618,Orphanet: S-adenosylhomocysteine hydrolase deficiency
hax1,ORPHA:99749,Orphanet: Kostmann syndrome
wrn,ORPHA:902,Orphanet: Werner syndrome
hpd,ORPHA:2118,Orphanet: Hawkinsinuria
atp6v1a,ORPHA:357074,"Orphanet: Autosomal recessive cutis laxa type 2, classic type"
ahsg,ORPHA:2850,Orphanet: Alopecia-intellectual disability syndrome
mre11,ORPHA:251347,Orphanet: Ataxia-telangiectasia-like disorder
phf8,ORPHA:85287,"Orphanet: X-linked intellectual disability, Siderius type"
gfra1,ORPHA:1848,"Orphanet: Renal agenesis, bilateral"
slc20a2,ORPHA:1980,Orphanet: Bilateral striopallidodentate calcinosis
usp18,ORPHA:481665,Orphanet: USP18 deficiency
prdm8,ORPHA:324290,Orphanet: Early-onset Lafora body disease
irgm,ORPHA:206,Orphanet: NON RARE IN EUROPE: Crohn disease
rab27a,ORPHA:79477,Orphanet: Griscelli syndrome type 2
etv1,ORPHA:319,Orphanet: Skeletal Ewing sarcoma
kdm3b,ORPHA:633004,Orphanet: KDM3B-related intellectual disability-facial dysmorphism-short stature syndrome
hmbs,ORPHA:79276,Orphanet: Acute intermittent porphyria
itga2,ORPHA:853,Orphanet: Fetal and neonatal alloimmune thrombocytopenia
gla,ORPHA:324,Orphanet: Fabry disease
mtr,ORPHA:2170,Orphanet: Methylcobalamin deficiency type cblG
blm,ORPHA:125,Orphanet: Bloom syndrome
smarca2,ORPHA:637013,Orphanet: SMARCA2-related blepharophimosis-intellectual disability syndrome
mcm4,ORPHA:75391,Orphanet: Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency
sh2d1a,ORPHA:538931,Orphanet: X-linked lymphoproliferative disease due to SAP deficiency
cilk1,ORPHA:307,Orphanet: Juvenile myoclonic epilepsy
ctps1,ORPHA:420573,Orphanet: Severe combined immunodeficiency due to CTPS1 deficiency
ssr4,ORPHA:370927,Orphanet: SSR4-CDG
pth1r,ORPHA:33067,"Orphanet: Metaphyseal chondrodysplasia, Jansen type"
nr3c2,ORPHA:171871,Orphanet: Renal pseudohypoaldosteronism type 1
trio,ORPHA:476126,Orphanet: Micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome
