Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
1.29E-15,31,1061,6.619115163,GO:0010243 response to organonitrogen compound , http://amigo.geneontology.org/amigo/term/GO:0010243, JAK2  SLC2A1  DRD1  SIRT1  LGMN  CACNA1B  INSR  MTOR  TGM2  CFTR  ABL1  MMP9  PIK3CG  GNRHR  CCND1  CDK4  IGF1R  CCNA2  SRD5A1  EGFR  CAPN2  CDK5  SYK  GRM5  PTAFR  CDK1  ALK  JUN  SLC8A1  MMP3  MMP12
1.50E-15,28,826,7.679476422,GO:0043549 regulation of kinase activity , http://amigo.geneontology.org/amigo/term/GO:0043549, CCND1  TEK  CCNB1  CCNH  IGF1R  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  ALK  INSR  CDK5R1  NTRK1  SIRT1  ABL1  PIK3CG  JAK2  CDC25B  CCKBR  CCNT1  CDK5  SYK  GRM5  MTOR  TAOK3  SLC8A1  CDC25C
1.71E-15,54,3774,3.24149601,GO:0048513 animal organ development , http://amigo.geneontology.org/amigo/term/GO:0048513, JAK2  SYK  CDK5R1  LCK  CSNK1D  PIK3CD  AURKA  GPR55  CFTR  BTK  CAPN1  DGAT2  CALCRL  SIRT1  ABL1  MMP9  CCND1  CCKBR  SLC2A1  SMO  CDK4  IGF1R  ERBB2  CCNA2  SRD5A1  EGFR  THRB  CCNB2  BRAF  MAPKAPK2  CCKAR  CDK5  FASN  CDK1  PFKFB3  ALK  INSR  GRK2  JUN  SLC8A1  DRD1  MAPK11  GABRA5  NTRK1  MTOR  TGM2  RORB  MMP12  SSTR3  NPY5R  FKBP1A  TEK  CTSL  RORC
1.84E-15,50,3210,3.528731378,GO:0009966 regulation of signal transduction , http://amigo.geneontology.org/amigo/term/GO:0009966, FKBP1A  TNKS2  CSNK1A1  TEK  SMO  CSNK1G2  TAOK3  GPR55  IGF1R  CSNK1D  ERBB2  INSR  GRK2  NTRK1  AURKB  SIRT1  JAK2  PIK3CG  F10  BRD4  EGFR  THRB  BRAF  PLA2G2A  MAPK9  ABL1  LGMN  MMP8  RAMP1  CDK4  NPY5R  CDK5  SYK  BDKRB2  GRM5  ALK  CDK5R1  JUN  TBK1  MTOR  MMP12  PIK3CD  MMP9  CCNB1  LCK  MGLL  TGM2  CAPN1  AURKA  TTK
1.85E-15,37,1645,5.095531012,GO:0009967 positive regulation of signal transduction , http://amigo.geneontology.org/amigo/term/GO:0009967, FKBP1A  TNKS2  TEK  SMO  CSNK1G2  GPR55  IGF1R  CSNK1D  ERBB2  INSR  NTRK1  AURKB  SIRT1  JAK2  PIK3CG  F10  BRD4  EGFR  THRB  BRAF  PLA2G2A  MAPK9  ABL1  MMP8  NPY5R  SYK  GRM5  ALK  JUN  TBK1  MMP12  PIK3CD  MMP9  TAOK3  LCK  TGM2  TTK
1.92E-15,51,3356,3.442721179,GO:0065009 regulation of molecular function , http://amigo.geneontology.org/amigo/term/GO:0065009, CCND1  TEK  CCNB1  CCNH  GPR55  IGF1R  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  ALK  INSR  CDK5R1  NTRK1  CFTR  CAPN1  AURKA  FKBP1A  SIRT1  ABL1  LGMN  MMP9  PIK3CG  CDK9  RPS6KA3  JUN  AURKB  LCK  DRD1  BTK  JAK2  CDC25B  CCKBR  MMP8  SMO  CCNT1  TAOK3  CDK4  CDK5  SYK  GRM5  PTAFR  MTOR  SENP1  ABCB1  CSNK1A1  SLC8A1  TGM2  MAPK9  CDC25C
2.88E-15,47,2847,3.739934689,GO:0035556 intracellular signal transduction , http://amigo.geneontology.org/amigo/term/GO:0035556, FKBP1A  MAPK9  JAK2  PIK3CG  TTK  TEK  TAOK3  GPR55  IGF1R  ERBB2  BRAF  PDE9A  MAPKAPK2  CDK1  INSR  PIK3CD  MAPK11  NTRK1  MTOR  AURKB  BTK  SIRT1  ABL1  CCND1  F10  BRD4  EGFR  SYK  PTAFR  JUN  LCK  PLA2G2A  MMP8  SMO  NPY5R  BDKRB2  GRM5  ALK  RPS6KA3  SLC8A1  CDK2  CCNA2  TBK1  MMP9  CCNB1  TGM2  AURKA
2.88E-15,16,168,21.57567185,GO:0044839 cell cycle G2/M phase transition , http://amigo.geneontology.org/amigo/term/GO:0044839, CDC25B  CDK2  CDC25C  CDK1  CCNB1  ABCB1  CCND1  CDK4  CCNA2  CCNB3  CCNB2  TAOK3  BRD4  AURKB  AURKA  WEE1
4.95E-15,41,2143,4.334263524,GO:0008283 cell population proliferation , http://amigo.geneontology.org/amigo/term/GO:0008283, TEK  CDK2  ERBB2  EGFR  SYK  ALK  JUN  JAK2  INSR  CCKBR  NTRK1  MMP12  BTK  CALCRL  ABL1  CCND1  SMO  CCNB1  CDK4  IGF1R  CCNA2  BRAF  NPY5R  PTAFR  CDK1  AURKB  TBK1  MAPK11  SSTR3  PIK3CD  ABCB1  SIRT1  LGMN  MMP9  CAPN1  CDC25B  PIK3CG  TTK  CAPNS1  CDK9  CDC25C
5.56E-15,29,956,6.872167447,GO:0051338 regulation of transferase activity , http://amigo.geneontology.org/amigo/term/GO:0051338, CCND1  TEK  CCNB1  CCNH  IGF1R  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  ALK  INSR  CDK5R1  NTRK1  SIRT1  ABL1  PIK3CG  JAK2  CDC25B  CCKBR  CCNT1  CDK5  SYK  GRM5  MTOR  TAOK3  AURKB  SLC8A1  CDC25C
