shared_gene,phenotype,concurrency_phenotype,concurrency_gene,Total_concurrency
['Ecto-ATPase 1'],[],0,0,0
['Component of oligomeric Golgi complex 4'],[],0,0,0
['Ku86'],[],0,0,0
['TWIK-related individual potassium channel'],[],0,0,0
['SLC11A3'],[],0,0,0
['Azoreductase'],[],0,0,0
['Inositol monophosphatase 1'],[],0,0,0
['Synonyms=SAAT1'],[],0,0,0
['KIAA0531'],[],0,0,0
['KYAT2'],[],0,0,0
"['Integrin alpha-IIb light chain, form 2']",[],0,0,0
['Taste receptor type 2 member 19'],[],0,0,0
['Sodium/potassium-dependent ATPase subunit beta-3'],[],0,0,0
['Hbeta1'],[],0,0,0
['OTF-1'],[],0,0,0
['Neprilysin-2'],[],0,0,0
['IP6K3'],[],0,0,0
['PARP-10'],[],0,0,0
['IGF-binding protein 3'],[],0,0,0
['Protein polybromo-1'],[],0,0,0
['BECN1'],[],0,0,0
['ARHGAP35'],[],0,0,0
['Dihydroorotate oxidase'],[],0,0,0
['2.4.1.-'],[],0,0,0
['Short chain dehydrogenase/reductase family 8C member 1'],[],0,0,0
['CMA1'],[],0,0,0
['Lipid storage droplet protein 5'],[],0,0,0
['Apolipoprotein B-48'],[],0,0,0
['V-erbA-related protein 7'],[],0,0,0
['OARD1'],[],0,0,0
"['Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta']",[],0,0,0
['UV radiation resistance-associated gene protein'],[],0,0,0
['GABARAP'],[],0,0,0
['Na(+)/myo-inositol cotransporter 2'],[],0,0,0
['Synonyms=KIAA0973'],[],0,0,0
['Alcohol dehydrogenase class-3'],[],0,0,0
['NG26'],[],0,0,0
['PAR-2'],[],0,0,0
['TAS2R10'],[],0,0,0
['RPL36A'],[],0,0,0
['60S ribosomal protein L17'],[],0,0,0
['Intramembrane protease 1'],[],0,0,0
