Omics_type,Sequencing_type,Sequencing_library,Omics_type_norm,Assay_type_norm,Sequencing_library_norm,Annotation
['Transcriptome or Gene expression'],OTHER,"['polyA RNA', 'total RNA']",Transcriptomics,Other,,
['Transcriptome or Gene expression'],OTHER,polyA RNA,Transcriptomics,Other,,
['Transcriptome or Gene expression'],OTHER,total RNA,Transcriptomics,Other,,
['Transcriptome or Gene expression'],RIP-Seq,polyA RNA,Epigenomics,RNA immunoprecipitation,,
['Transcriptome or Gene expression'],RIP-Seq,total RNA,Epigenomics,RNA immunoprecipitation,,
['Transcriptome or Gene expression'],RNA-Seq,"['cytoplasmic RNA', 'nuclear RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,"['genomic DNA', 'polyA RNA']",Genomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,"['nuclear RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,"['other', 'polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,"['other', 'polyA RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,"['polyA RNA', 'protein', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,"['polyA RNA', 'protein']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,"['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,"['protein', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,cytoplasmic RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,genomic DNA,Genomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,nuclear RNA,Transcriptomics,RNA-Seq,nuclear RNA,
['Transcriptome or Gene expression'],RNA-Seq,polyA RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,protein,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],RNA-Seq,total RNA,Transcriptomics,RNA-Seq,total RNA,
['Transcriptome or Gene expression'],"['', 'RNA-Seq']",total RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['Bisulfite-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,Bisulfite-seq,,"indicated by ""bisulfite-seq"""
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']","['other', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']","['polyA RNA', 'protein']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']","['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
