Omics_type,Sequencing_type,Sequencing_library
[],OTHER,cytoplasmic RNA
[],OTHER,genomic DNA
[],OTHER,nuclear RNA
[],OTHER,other
[],OTHER,polyA RNA
[],OTHER,protein
[],OTHER,total RNA
[],RIP-Seq,"['other', 'total RNA']"
[],RIP-Seq,other
[],RIP-Seq,polyA RNA
[],RIP-Seq,total RNA
[],RNA-Seq,"['cytoplasmic RNA', 'total RNA']"
[],RNA-Seq,"['genomic DNA', 'total RNA']"
[],RNA-Seq,"['other', 'polyA RNA', 'total RNA']"
[],RNA-Seq,"['other', 'protein', 'total RNA']"
[],RNA-Seq,"['polyA RNA', 'protein']"
[],RNA-Seq,"['polyA RNA', 'total RNA']"
[],RNA-Seq,"['protein', 'total RNA']"
[],RNA-Seq,polyA RNA
[],RNA-Seq,total RNA
[],SELEX,protein
[],Tn-Seq,genomic DNA
[],"['', 'ATAC-seq', 'Bisulfite-Seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['', 'ATAC-seq']",genomic DNA
[],"['', 'Bisulfite-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'Bisulfite-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'Bisulfite-Seq']",genomic DNA
[],"['', 'ChIP-Seq', 'DNase-Hypersensitivity', 'OTHER']",genomic DNA
[],"['', 'ChIP-Seq', 'DNase-Hypersensitivity', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'ChIP-Seq', 'DNase-Hypersensitivity']","['genomic DNA', 'total RNA']"
[],"['', 'ChIP-Seq', 'FAIRE-seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'ChIP-Seq', 'OTHER']","['genomic DNA', 'protein']"
[],"['', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'ChIP-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'ChIP-Seq']",genomic DNA
[],"['', 'DNase-Hypersensitivity']","['genomic DNA', 'total RNA']"
[],"['', 'MeDIP-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'OTHER']","['protein', 'total RNA']"
[],"['', 'OTHER']",genomic DNA
[],"['', 'OTHER']",total RNA
[],"['', 'RNA-Seq', 'miRNA-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['', 'RNA-Seq']","['other', 'total RNA']"
[],"['', 'RNA-Seq']","['polyA RNA', 'total RNA']"
[],"['', 'RNA-Seq']","['protein', 'total RNA']"
[],"['', 'RNA-Seq']",total RNA
[],"['', 'miRNA-Seq']",total RNA
[],"['', 'ncRNA-Seq']",total RNA
[],"['ATAC-seq', 'Bisulfite-Seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'Bisulfite-Seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'Bisulfite-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'Bisulfite-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'Bisulfite-Seq', 'RNA-Seq']",polyA RNA
[],"['ATAC-seq', 'ChIP-Seq', 'Hi-C', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'ChIP-Seq', 'Hi-C', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'ChIP-Seq', 'Hi-C']",genomic DNA
[],"['ATAC-seq', 'ChIP-Seq', 'MeDIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['ATAC-seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['ATAC-seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['ATAC-seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['ATAC-seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'ChIP-Seq']",genomic DNA
[],"['ATAC-seq', 'Hi-C', 'OTHER']",genomic DNA
[],"['ATAC-seq', 'OTHER', 'RIP-Seq', 'RNA-Seq', 'miRNA-Seq', 'ssRNA-seq']","['genomic DNA', 'other', 'polyA RNA', 'total RNA']"
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'other', 'polyA RNA']"
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'other', 'total RNA']"
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'protein', 'total RNA']"
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'OTHER']","['genomic DNA', 'nuclear RNA']"
[],"['ATAC-seq', 'OTHER']",genomic DNA
[],"['ATAC-seq', 'RNA-Seq', 'miRNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'nuclear RNA', 'total RNA']"
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'nuclear RNA']"
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['ATAC-seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ATAC-seq', 'RNA-Seq']","['other', 'total RNA']"
[],"['ATAC-seq', 'RNA-Seq']",polyA RNA
[],"['ATAC-seq', 'RNA-Seq']",total RNA
[],"['Bisulfite-Seq', 'ChIP-Seq', 'Hi-C', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['Bisulfite-Seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['Bisulfite-Seq', 'ChIP-Seq', 'OTHER']",genomic DNA
[],"['Bisulfite-Seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['Bisulfite-Seq', 'ChIP-Seq']",genomic DNA
[],"['Bisulfite-Seq', 'MNase-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['Bisulfite-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['Bisulfite-Seq', 'OTHER']","['genomic DNA', 'polyA RNA']"
[],"['Bisulfite-Seq', 'OTHER']",genomic DNA
[],"['Bisulfite-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['Bisulfite-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ChIA-PET', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['ChIP-Seq', 'Hi-C', 'OTHER', 'RIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ChIP-Seq', 'Hi-C', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ChIP-Seq', 'Hi-C', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ChIP-Seq', 'OTHER', 'RNA-Seq', 'WGS']","['genomic DNA', 'nuclear RNA', 'total RNA']"
[],"['ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'other', 'total RNA']"
