,SID,Source Name,Registry Identifier,CID
192,53786932,Comparative Toxicogenomics Database (CTD),D005459,28179
193,53786933,Comparative Toxicogenomics Database (CTD),D005439,3371
194,53786934,Comparative Toxicogenomics Database (CTD),C082155,7119
195,53786935,Comparative Toxicogenomics Database (CTD),C047975,155346
196,53786936,Comparative Toxicogenomics Database (CTD),C035988,36242
197,53786937,Comparative Toxicogenomics Database (CTD),C011506,39800
198,53786938,Comparative Toxicogenomics Database (CTD),C427308,25108684
199,53786939,Comparative Toxicogenomics Database (CTD),C011145,135399235
200,53786940,Comparative Toxicogenomics Database (CTD),C108518,3378093
201,53786941,Comparative Toxicogenomics Database (CTD),C439584,6433099
202,53786942,Comparative Toxicogenomics Database (CTD),D010984,23939
203,53786943,Comparative Toxicogenomics Database (CTD),C093321,9870830
204,53786944,Comparative Toxicogenomics Database (CTD),C004312,11164
205,53786945,Comparative Toxicogenomics Database (CTD),D003613,28417
206,53786946,Comparative Toxicogenomics Database (CTD),C412383,9821250
207,53786947,Comparative Toxicogenomics Database (CTD),D003840,222528
208,53786948,Comparative Toxicogenomics Database (CTD),D020358,23668194
209,53786949,Comparative Toxicogenomics Database (CTD),C017572,7473
210,53786950,Comparative Toxicogenomics Database (CTD),C086108,2790
211,53786951,Comparative Toxicogenomics Database (CTD),C074112,126094
212,53786952,Comparative Toxicogenomics Database (CTD),C101036,516859
213,53786953,Comparative Toxicogenomics Database (CTD),C027917,6380
214,53786954,Comparative Toxicogenomics Database (CTD),C047681,4887
215,53786955,Comparative Toxicogenomics Database (CTD),D017328,55891
216,53786956,Comparative Toxicogenomics Database (CTD),D017316,59693
217,53786957,Comparative Toxicogenomics Database (CTD),C047285,5486953
218,53786958,Comparative Toxicogenomics Database (CTD),C006068,7175
219,53786959,Comparative Toxicogenomics Database (CTD),C006012,64928
220,53786960,Comparative Toxicogenomics Database (CTD),C023850,5283734
221,53786961,Comparative Toxicogenomics Database (CTD),C511303,5901612
222,53786962,Comparative Toxicogenomics Database (CTD),C006463,7858
223,53786963,Comparative Toxicogenomics Database (CTD),C053083,60726
224,53786964,Comparative Toxicogenomics Database (CTD),D005493,126941
225,53786965,Comparative Toxicogenomics Database (CTD),C456860,
226,53786966,Comparative Toxicogenomics Database (CTD),D017835,50294
227,53786967,Comparative Toxicogenomics Database (CTD),D005027,6354
228,53786968,Comparative Toxicogenomics Database (CTD),C468548,24794416
229,53786969,Comparative Toxicogenomics Database (CTD),C010845,24012
230,53786970,Comparative Toxicogenomics Database (CTD),D004028,667476
231,53786971,Comparative Toxicogenomics Database (CTD),D010636,
232,53786972,Comparative Toxicogenomics Database (CTD),C005881,5280899
233,53786973,Comparative Toxicogenomics Database (CTD),C034330,122001
234,53786974,Comparative Toxicogenomics Database (CTD),C063002,3136
235,53786975,Comparative Toxicogenomics Database (CTD),C028690,7465
236,53786976,Comparative Toxicogenomics Database (CTD),C503100,9816527
237,53786977,Comparative Toxicogenomics Database (CTD),C101426,135398744
238,53786978,Comparative Toxicogenomics Database (CTD),C074107,123840
239,53786979,Comparative Toxicogenomics Database (CTD),C039775,114709
240,53786980,Comparative Toxicogenomics Database (CTD),C027561,2347
241,53786981,Comparative Toxicogenomics Database (CTD),C454102,10315094
242,53786982,Comparative Toxicogenomics Database (CTD),C010724,5352621
243,53786983,Comparative Toxicogenomics Database (CTD),C099681,
244,53786984,Comparative Toxicogenomics Database (CTD),C035253,107
245,53786985,Comparative Toxicogenomics Database (CTD),C474055,13700
246,53786986,Comparative Toxicogenomics Database (CTD),C011889,
247,53786987,Comparative Toxicogenomics Database (CTD),C023844,24434
248,53786988,Comparative Toxicogenomics Database (CTD),D005977,743
249,53786989,Comparative Toxicogenomics Database (CTD),D005944,
250,53786990,Comparative Toxicogenomics Database (CTD),C035132,66724
251,53786991,Comparative Toxicogenomics Database (CTD),C011521,96364
252,53786992,Comparative Toxicogenomics Database (CTD),C108729,9948349
253,53786993,Comparative Toxicogenomics Database (CTD),C023035,63090
254,53786994,Comparative Toxicogenomics Database (CTD),C490707,9838712
255,53786995,Comparative Toxicogenomics Database (CTD),D005557,712
256,53786996,Comparative Toxicogenomics Database (CTD),C510788,11984591
257,53786997,Comparative Toxicogenomics Database (CTD),C005618,448223
258,53786998,Comparative Toxicogenomics Database (CTD),D010878,23666879
259,53786999,Comparative Toxicogenomics Database (CTD),C051781,104772
260,53787000,Comparative Toxicogenomics Database (CTD),C064176,196402
261,53787001,Comparative Toxicogenomics Database (CTD),C520389,
262,53787002,Comparative Toxicogenomics Database (CTD),C088453,
263,53787003,Comparative Toxicogenomics Database (CTD),C006983,16323
264,53787004,Comparative Toxicogenomics Database (CTD),D011134,
265,53787005,Comparative Toxicogenomics Database (CTD),C023891,24726
266,53787006,Comparative Toxicogenomics Database (CTD),C065299,9793905
267,53787007,Comparative Toxicogenomics Database (CTD),D017294,4595
268,53787008,Comparative Toxicogenomics Database (CTD),D005476,3372
269,53787009,Comparative Toxicogenomics Database (CTD),D017879,
270,53787010,Comparative Toxicogenomics Database (CTD),C035359,5289273
271,53787011,Comparative Toxicogenomics Database (CTD),D010076,4616
272,53787012,Comparative Toxicogenomics Database (CTD),C113497,10350027
273,53787013,Comparative Toxicogenomics Database (CTD),C058186,
274,53787014,Comparative Toxicogenomics Database (CTD),C402665,9950868
275,53787015,Comparative Toxicogenomics Database (CTD),D010624,3675
276,53787016,Comparative Toxicogenomics Database (CTD),C479128,
277,53787017,Comparative Toxicogenomics Database (CTD),C017618,19539
278,53787018,Comparative Toxicogenomics Database (CTD),D004852,1742210
279,53787019,Comparative Toxicogenomics Database (CTD),D015215,35370
