name,count
age_at_death_years,492
disease_duration_years,492
thal_amyloid_phase,492
braak_asyn_stage,492
clinical_diagnosis,492
dementia,492
braak_nft_stage,492
cerad_stage,492
neuropathological_diagnosis,492
amp_plate,492
duplicate_pair,492
protocol description,492
failed_genotyping_qc,492
is_technical_replicate,492
slide_position,492
sequencing parameters,490
cinsarc,489
assayed molecule,489
material support,489
Strain,486
passage number,485
sars-cov-2 positivity,484
diagnostic_mean,484
comorbidities,481
pathogen,478
population,477
library name,476
contributing person,476
infected with/healthy control,476
brainbank,475
personid,475
broadbrainregion,475
postmorteminterval,475
dnamagewindsorized,475
caglength,475
esr,475
code,473
culture condition,472
tissue_depot,471
hyb chamber,470
sample name,470
monkeyid,470
synchroset,470
pittid,470
red blood cells,460
lymphs,460
death,460
performance_status_ecog,459
line,459
white blood cells,458
FDG avidity,458
FDG group,458
isolation_method,455
timing sx,455
research pcr,455
sample timing,455
vaccine doses,455
vl copies,455
timing dx,455
covid cat,455
covid,455
skin type,452
vital status,450
survival_status,450
days_from_att_categ,450
subgroup_att,450
progression,448
site of infection,447
prior treatment,445
survival,444
breed,443
subject_id,442
predicted dlco,441
cancer type,439
infection code,438
genome build,438
sample material,438
diseasestatus,437
specimen,434
time.to.tb.months,434
time.from.exposure.months,434
ffs,433
culture conditions,432
label,431
immunocompromised status,429
concentration,427
wt/mut,426
derived from hesc/ipsc,426
hd/asd,426
disease_status,426
bait,425
pcr1 cy. no,422
chain,422
techn. replicate,422
sample collection time,421
parasitemia,419
media,417
nanopore methylation_call,415
reference diagnosis,415
nanopore methylation_class_family_call,415
outlier,414
shRNA,414
library well,412
num_extranodal,412
library plate,412
genotypic pc2,410
gxbdataset_biirinternal,410
genotypic pc1,410
array,407
condition description,405
date collected,404
vaccination,404
ols,403
sequencing lane,401
star_genome_mapped,399
modified rankin score at 1 year post-ich,399
initial ich volume,399
day of trial,399
glasgow coma score,399
nih stroke score,399
1 yr gcs <4,399
senot determined,399
fastq_frag_count,399
gene_count,399
adjusted disease severity index,399
rrna_count,399
hrs after symptom onset,399
techrep,399
prct_trans_mapped,399
trans_mapped,399
prct_rrna,399
prct_star_genome_mapped,399
response_group,398
symptomatic or asymptomatic at sample collection,397
qpcr screening for plasmodium genus,397
grouping,395
platelet,394
nuclei count,393
day post infection,391
non human primate individual id,390
age at death,387
days since vaccination,387
vaccine side effects,387
vaccine type,387
age at sample drawn,387
induction date,385
library date,385
tau_a1,384
antigen,384
tau_a2,384
nanostring plexset set in rcc files,384
roicoordinatey,383
sampling timepoint,383
loq,383
roicoordinatex,383
markers,382
technique,381
exposure,381
sample preparation,380
chip antibody vendor,380
tst skin test,379
recruiting site,379
tspot,379
quantiferon,379
sample_group,377
slide id,377
octn2,374
aza tolerant,374
smoking amount,374
smoking stop date,374
smoking start date,374
casenote review date,374
aza treated,374
last followup date,374
ibd affected relatives,374
nod 1007 fs,374
igr2198,374
igr2230,374
dlg5 133a,374
octn1,374
diagnosis date,374
nod 908,374
blood obtained,374
other illnesses,374
symptoms onset date,374
birth date,374
procedure date,374
indictation for procedure,374
nod 702,374
wcc,374
family history,374
current medication,374
joint problems,374
igr2096,374
subject group,371
strain/genotype,371
ipi_score,370
binding density,370
cap score,369
mouse number,369
classification,369
cap_d_group,369
aoinucleicount,368
who grade,367
gold stage,366
chip antibody cat,365
pcr test for sars-cov-2,364
qc flag - low signal,363
year of surgery,363
tissue structure,363
covid-19 ish status,363
surface area,363
history,363
note,363
negative normalization factor,363
hyb-code,363
tissue substructure,363
sars-cov-2 rna ish,363
replicate description,362
age in year,362
link,362
organ,361
growth condition,359
ssc subtype,358
experiment group,354
mutation,354
previous diagnosis of tb,354
mouse,354
sample group_label,353
days of differentiation,353
treatment location,353
age at_treatment,353
treatment age_group,353
preoperative karnofsky performance status,352
who,349
rpa class,349
source type,345
karnofsky performance status before starting chemo-radiotherapy,345
nuclei_counts,345
amplification,341
additional conditions,340
sars-cov-2 voc,340
egfr_amplification,340
sample number within subject,339
disease symptom,339
skin,338
chemotherapy,337
sirna,335
sample collection,335
culture type,334
animal_id,334
tissue id,333
rna source,333
total number of genomic aberrations,332
follow up years,332
with or without clonal heterogeneity,332
international prognostic index,332
dead or alive at the end of follow-up,332
animal age,330
x coordinate,330
aoi surface area,330
y coordinate,330
antibodies/tags,329
obtainedby,328
seizure,328
treatment/time point,328
other diseases,325
monkey id,324
amplification cycles,324
pasi75 response at week 12,324
idh1 mutation status,323
disease type,322
parasite strain,322
animal sex,320
colony of_origin,320
cell phenotype,319
scanheight,319
ventilation,319
scanoffsetx,319
scanwidth,319
dosage,319
slide_scanid,319
scanoffsety,319
lotid,319
week,317
osteogenesis day,317
msc source,317
smoke,317
donor category,317
hemoglobin genotype,315
asthma,314
abs monos by lymphos,313
abs eosinophils,313
per monos by lymphos,313
visit_date,313
timepoint_months,313
uk_arrival_year,313
smear_result,313
age_at_baseline_visit,313
per lymphocytes,313
tb_disease_type,313
slide name,313
per neutrophils,313
abs neutrophils,313
abs lymphocytes,313
abs monocytes,313
per monocytes,313
paired rna-seq,312
hb phenotype,311
per eosinophils,310
development,310
disease subtype,308
vaccinegroup,308
cdk4_amplification,307
cdkn2a_b_deletion,307
mdm4_amplification,307
pdgfra_amplification,307
mdm2_amplification,307
chr20_gain,307
chr10_loss,307
pten_deletion,307
chr7_gain,307
idh2 mutation status,307
chr19_gain,307
mean corpuscular volume,306
vaccine v2,305
vaccine v1,305
aoisurfacearea,304
cartridgebarcode,304
sample time,302
trachea region,301
education,300
p53 Status,300
sampletype,300
job/role,300
CellLine,300
BioSourceType,300
DiseaseState,300
Individual,300
TargetedCellType,300
Prior Treatment,300
OrganismPart,300
InitialTimePoint,300
cells,299
chip-antibody,298
OS status,297
treatment administration route,296
treatment frequency,296
category,296
diffuse at baseline sample,295
anti-rna polymerase iii,295
anti-centromere,295
technical replicate,295
experiment type,295
MDR Function,295
anti-topoisomerase i,295
description,294
mrss at baseline sample,293
hiv,292
age at diagnosis,291
tnm,290
pseudomonas aeruginosa surrogate variable 1,290
round of sequencing,288
treatment1,288
pfs,287
index,287
platinumfreeinterval.mos,286
pfs.mos,286
differentiation stage,286
path.stage,286
surgical.outcome,286
diagnosis.of.record,286
recurrence,286
diagnosis.after.path.re.review,286
tcga_subtype_pro,286
tcga_subtype_mes,286
tcga_subtype_imr,286
tcga_subtype_dif,286
vitalstatus,286
os.mos,286
platinumstatus,286
stic,286
birth defects,285
developmental/speech disorder,285
ct,285
mri,285
neurological disorder,285
