2022-06-14 22:54:49,821 INFO:Started save_new_articles. Mindate: 2018/06/23  Maxdate: 2022/06/14
2022-06-14 22:54:51,424 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,427 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,429 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,431 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,432 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,434 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,436 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,438 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,440 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,441 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,443 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,444 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,446 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,448 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,450 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,452 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,454 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,455 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,457 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,459 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,461 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,463 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,465 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,466 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,468 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,474 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,474 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,474 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,474 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,474 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,490 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,490 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,490 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,490 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,490 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,502 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,502 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,506 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,506 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,506 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,506 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,506 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,506 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,506 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,521 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,537 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,537 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,537 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,537 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,537 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,537 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,537 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,537 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,553 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,553 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,553 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,553 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,553 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,553 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,553 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,553 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,568 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,568 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,568 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,568 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,568 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,568 DEBUG:[#ED7B]  S: RECORD * 1
